,task_name,seed,split,test_metric,test_performance,model
0,FreeSolv,2,random,RMSE,1.0134450627906764,MolMapNet-OPT
1,FreeSolv,16,random,RMSE,1.221542461995208,MolMapNet-OPT
2,FreeSolv,32,random,RMSE,0.9440238887241372,MolMapNet-OPT
3,FreeSolv,64,random,RMSE,1.088603554876105,MolMapNet-OPT
4,FreeSolv,128,random,RMSE,0.8648388436902723,MolMapNet-OPT
5,FreeSolv,256,random,RMSE,1.1864621255566778,MolMapNet-OPT
6,FreeSolv,512,random,RMSE,0.7571162750170208,MolMapNet-OPT
7,FreeSolv,1024,random,RMSE,0.6422155231039224,MolMapNet-OPT
8,FreeSolv,2048,random,RMSE,0.9098303052817878,MolMapNet-OPT
9,FreeSolv,4096,random,RMSE,0.9373200190393756,MolMapNet-OPT
0,FreeSolv,2,random,RMSE,1.021445996265896,MolMapNet-OOTB
1,FreeSolv,16,random,RMSE,1.2251924362764357,MolMapNet-OOTB
2,FreeSolv,32,random,RMSE,0.9202901627949148,MolMapNet-OOTB
3,FreeSolv,64,random,RMSE,1.1023377617758636,MolMapNet-OOTB
4,FreeSolv,128,random,RMSE,0.8729072351365335,MolMapNet-OOTB
5,FreeSolv,256,random,RMSE,1.1973858094615035,MolMapNet-OOTB
6,FreeSolv,512,random,RMSE,0.7956268726416641,MolMapNet-OOTB
7,FreeSolv,1024,random,RMSE,0.6996783925221697,MolMapNet-OOTB
8,FreeSolv,2048,random,RMSE,0.9561281373581122,MolMapNet-OOTB
9,FreeSolv,4096,random,RMSE,0.9983710742234616,MolMapNet-OOTB
0,ESOL,2,random,RMSE,0.5944086287700804,MolMapNet-OPT
1,ESOL,16,random,RMSE,0.6480838561022569,MolMapNet-OPT
2,ESOL,32,random,RMSE,0.6246771424018419,MolMapNet-OPT
3,ESOL,64,random,RMSE,0.5720258745294986,MolMapNet-OPT
4,ESOL,128,random,RMSE,0.6221530340604828,MolMapNet-OPT
5,ESOL,256,random,RMSE,0.5862718333704797,MolMapNet-OPT
6,ESOL,512,random,RMSE,0.4652852293143635,MolMapNet-OPT
7,ESOL,1024,random,RMSE,0.5305615674623568,MolMapNet-OPT
8,ESOL,2048,random,RMSE,0.5995644448640997,MolMapNet-OPT
9,ESOL,4096,random,RMSE,0.5633112224843765,MolMapNet-OPT
0,ESOL,2,random,RMSE,0.6250197699478259,MolMapNet-OOTB
1,ESOL,16,random,RMSE,0.6224911891143242,MolMapNet-OOTB
2,ESOL,32,random,RMSE,0.6802574137748745,MolMapNet-OOTB
3,ESOL,64,random,RMSE,0.6420977655780724,MolMapNet-OOTB
4,ESOL,128,random,RMSE,0.6708210184694142,MolMapNet-OOTB
5,ESOL,256,random,RMSE,0.6319593414331071,MolMapNet-OOTB
6,ESOL,512,random,RMSE,0.5309469550780157,MolMapNet-OOTB
7,ESOL,1024,random,RMSE,0.5069914556220431,MolMapNet-OOTB
8,ESOL,2048,random,RMSE,0.6054278198426334,MolMapNet-OOTB
9,ESOL,4096,random,RMSE,0.5788168289243394,MolMapNet-OOTB
0,BACE,2,scaffold,ROC_AUC,0.8907843137254902,MolMapNet-OPT
1,BACE,16,scaffold,ROC_AUC,0.8472695772695773,MolMapNet-OPT
2,BACE,32,scaffold,ROC_AUC,0.8560104529616724,MolMapNet-OPT
3,BACE,64,scaffold,ROC_AUC,0.9086580086580088,MolMapNet-OPT
4,BACE,128,scaffold,ROC_AUC,0.8348330965909091,MolMapNet-OPT
5,BACE,256,scaffold,ROC_AUC,0.8257660067772428,MolMapNet-OPT
6,BACE,512,scaffold,ROC_AUC,0.9420518207282912,MolMapNet-OPT
7,BACE,1024,scaffold,ROC_AUC,0.89856419868791,MolMapNet-OPT
8,BACE,2048,scaffold,ROC_AUC,0.9289059233449476,MolMapNet-OPT
9,BACE,4096,scaffold,ROC_AUC,0.8672938689217758,MolMapNet-OPT
0,BACE,2,scaffold,ROC_AUC,0.8855882352941177,MolMapNet-OOTB
1,BACE,16,scaffold,ROC_AUC,0.8247574497574497,MolMapNet-OOTB
2,BACE,32,scaffold,ROC_AUC,0.8568815331010453,MolMapNet-OOTB
