task_name, seed, valid_auc, test_auc
BACE, 2, 0.8647771147771147, 0.8855882352941177
BACE, 16, 0.8833333333333333, 0.8247574497574497
BACE, 32, 0.8837904360056259, 0.8568815331010453
BACE, 64, 0.9416225749559083, 0.92
BACE, 128, 0.9415173867228662, 0.7868430397727272
BACE, 256, 0.8767111267111267, 0.8262885678616015
BACE, 512, 0.8392167193537056, 0.9424019607843137
BACE, 1024, 0.9343309859154929, 0.9021555763823805
BACE, 2048, 0.9424226441631506, 0.9275261324041812
BACE, 4096, 0.8524921024921026, 0.8487491190979564
