task_name, seed, valid_auc, test_auc
BACE, 2, 0.8736398736398736, 0.8907843137254902
BACE, 16, 0.884561403508772, 0.8472695772695773
BACE, 32, 0.8717475386779185, 0.8560104529616724
BACE, 64, 0.9445326278659613, 0.9086580086580087
BACE, 128, 0.932648401826484, 0.8348330965909091
BACE, 256, 0.8709196209196209, 0.8257660067772428
BACE, 512, 0.8471197752019669, 0.9420518207282913
BACE, 1024, 0.9173415492957746, 0.89856419868791
BACE, 2048, 0.947696905766526, 0.9289059233449477
BACE, 4096, 0.8778518778518779, 0.8672938689217758
