task_name, seed, valid_rmse, test_rmse
FreeSolv, 2, 1.2633182790952817, 1.0134450627906764
FreeSolv, 16, 0.8582438014583128, 1.221542461995208
FreeSolv, 32, 1.1130882603982624, 0.9440238887241373
FreeSolv, 64, 0.6901481860912649, 1.088603554876105
FreeSolv, 128, 0.8173242731556202, 0.8648388436902723
FreeSolv, 256, 1.0654037779892385, 1.1864621255566778
FreeSolv, 512, 0.5044603677418947, 0.7571162750170208
FreeSolv, 1024, 0.8826892049058904, 0.6422155231039224
FreeSolv, 2048, 1.0367222441826474, 0.9098303052817878
FreeSolv, 4096, 0.7220874003236561, 0.9373200190393756
